"","X39.3212121212121","X0","X0.1","X0.5","X25","X3","X1"
"1",39.3212121212121,0,0,0.5,25,3,1
"2",39.369696969697,0,0,0.5,25,3,1
"3",30.1333333333333,25,0,0.5,25,3,1
"4",30.0121212121212,25,0,0.5,25,3,1
"5",26.9333333333333,50,0,0.5,25,3,1
"6",27.030303030303,50,0,0.5,25,3,1
"7",39.030303030303,75,0,0.5,25,3,1
"8",37.6727272727273,75,0,0.5,25,3,1
"9",50.1818181818182,100,0,0.5,25,3,1
"10",49.5030303030303,100,0,0.5,25,3,1
"11",40.4848484848485,0,0,1.5,25,3,1
"12",40.4606060606061,0,0,1.5,25,3,1
"13",31.369696969697,25,0,1.5,25,3,1
"14",31.7090909090909,25,0,1.5,25,3,1
"15",29.4060606060606,50,0,1.5,25,3,1
"16",27.8060606060606,50,0,1.5,25,3,1
"17",38.6181818181818,75,0,1.5,25,3,1
"18",39.1515151515152,75,0,1.5,25,3,1
"19",51.0545454545455,100,0,1.5,25,3,1
"20",52.4848484848485,100,0,1.5,25,3,1
"21",42.6181818181818,0,2,0.5,25,3,1
"22",42.5212121212121,0,2,0.5,25,3,1
"23",33.9636363636364,25,2,0.5,25,3,1
"24",33.1878787878788,25,2,0.5,25,3,1
"25",30.569696969697,50,2,0.5,25,3,1
"26",30.0363636363636,50,2,0.5,25,3,1
"27",40.9939393939394,75,2,0.5,25,3,1
"28",40.7757575757576,75,2,0.5,25,3,1
"29",53.5272727272727,100,2,0.5,25,3,1
"30",53.7939393939394,100,2,0.5,25,3,1
"31",43.9757575757576,0,2,1.5,25,3,1
"32",43.7090909090909,0,2,1.5,25,3,1
"33",35.1515151515151,25,2,1.5,25,3,1
"34",35.4909090909091,25,2,1.5,25,3,1
"35",32.8969696969697,50,2,1.5,25,3,1
"36",32.0727272727273,50,2,1.5,25,3,1
"37",42.230303030303,75,2,1.5,25,3,1
"38",41.9636363636364,75,2,1.5,25,3,1
"39",56.7272727272727,100,2,1.5,25,3,1
"40",56.3636363636364,100,2,1.5,25,3,1
"41",47.030303030303,0,5,0.5,25,3,1
"42",46.7878787878788,0,5,0.5,25,3,1
"43",39.369696969697,25,5,0.5,25,3,1
"44",40.3151515151515,25,5,0.5,25,3,1
"45",35.6606060606061,50,5,0.5,25,3,1
"46",35.9515151515152,50,5,0.5,25,3,1
"47",45.5030303030303,75,5,0.5,25,3,1
"48",45.2121212121212,75,5,0.5,25,3,1
"49",61.3818181818182,100,5,0.5,25,3,1
"50",61.6484848484849,100,5,0.5,25,3,1
"51",48.5818181818182,0,5,1.5,25,3,1
"52",48.2909090909091,0,5,1.5,25,3,1
"53",41.6969696969697,25,5,1.5,25,3,1
"54",41.7939393939394,25,5,1.5,25,3,1
"55",38.4,50,5,1.5,25,3,1
"56",37.2606060606061,50,5,1.5,25,3,1
"57",47.7818181818182,75,5,1.5,25,3,1
"58",45.5030303030303,75,5,1.5,25,3,1
"59",63.7575757575758,100,5,1.5,25,3,1
"60",64.6060606060606,100,5,1.5,25,3,1
"61",35.8787878787879,0,0,0.5,35,3,1
"62",36.6787878787879,0,0,0.5,35,3,1
"63",27.1757575757576,25,0,0.5,35,3,1
"64",26.230303030303,25,0,0.5,35,3,1
"65",25.9151515151515,50,0,0.5,35,3,1
"66",25.6,50,0,0.5,35,3,1
"67",36.0484848484848,75,0,0.5,35,3,1
"68",37.5515151515152,75,0,0.5,35,3,1
"69",49.4787878787879,100,0,0.5,35,3,1
"70",49.5272727272727,100,0,0.5,35,3,1
"71",37.6,0,0,1.5,35,3,1
"72",37.2121212121212,0,0,1.5,35,3,1
"73",27.7818181818182,25,0,1.5,35,3,1
"74",27.8060606060606,25,0,1.5,35,3,1
"75",28.0969696969697,50,0,1.5,35,3,1
"76",28.4363636363636,50,0,1.5,35,3,1
"77",39.369696969697,75,0,1.5,35,3,1
"78",40.0484848484848,75,0,1.5,35,3,1
"79",50.9575757575758,100,0,1.5,35,3,1
"80",52.5575757575758,100,0,1.5,35,3,1
"81",40.0242424242424,0,2,0.5,35,3,1
"82",39.8787878787879,0,2,0.5,35,3,1
"83",30.3030303030303,25,2,0.5,35,3,1
"84",31.7818181818182,25,2,0.5,35,3,1
"85",30.9333333333333,50,2,0.5,35,3,1
"86",29.6969696969697,50,2,0.5,35,3,1
"87",40.169696969697,75,2,0.5,35,3,1
"88",40.3878787878788,75,2,0.5,35,3,1
"89",54.8363636363636,100,2,0.5,35,3,1
"90",54.1333333333333,100,2,0.5,35,3,1
"91",40.7030303030303,0,2,1.5,35,3,1
"92",40.1212121212121,0,2,1.5,35,3,1
"93",32.2424242424242,25,2,1.5,35,3,1
"94",32.1939393939394,25,2,1.5,35,3,1
"95",31.4666666666667,50,2,1.5,35,3,1
"96",31.1030303030303,50,2,1.5,35,3,1
"97",42.0606060606061,75,2,1.5,35,3,1
